product,market,month,Qty
Gown protective,Macomb County,Apr-20,83
Gown protective,Macomb County,May-20,89
Gown protective,Macomb County,Jun-20,88
Gown protective,Macomb County,Jul-20,78
Gown protective,Macomb County,Aug-20,77
Gown protective,Macomb County,Sep-20,78
Gown protective,Macomb County,Oct-20,73
Gown protective,Macomb County,Nov-20,79
Gown protective,Macomb County,Dec-20,71
Gown protective,Macomb County,Jan-20,80
Gown protective,Macomb County,Feb-20,70
Gown protective,Macomb County,Mar-20,73
Gown protective,Macomb County,Apr-20,75
Gown protective,Macomb County,May-20,69
Gown protective,Macomb County,Jun-20,69
Gown protective,Macomb County,Jul-20,69
Gown protective,Macomb County,Aug-20,68
Gown protective,Macomb County,Sep-20,59
Gown protective,Macomb County,Oct-20,59
Gown protective,Macomb County,Nov-20,61
Gown protective,Macomb County,Dec-20,57
Gown protective,Genesee County,Jan-20,64
Gown protective,Genesee County,Feb-20,67
Gown protective,Genesee County,Mar-20,61
Gown protective,Genesee County,Apr-20,63
Gown protective,Genesee County,May-20,59
Gown protective,Genesee County,Jun-20,59
Gown protective,Genesee County,Jul-20,60
Gown protective,Genesee County,Aug-20,51
Gown protective,Genesee County,Sep-20,49
Gown protective,Genesee County,Oct-20,52
Gown protective,Genesee County,Nov-20,47
Gown protective,Genesee County,Dec-20,56
Gown protective,Genesee County,Jan-20,52
Gown protective,Genesee County,Feb-20,52
Gown protective,Genesee County,Mar-20,47
Gown protective,Genesee County,Apr-20,49
Gown protective,Genesee County,May-20,48
Gown protective,Genesee County,Jun-20,49
Gown protective,Genesee County,Jul-20,44
Gown protective,Genesee County,Aug-20,39
Gown protective,Genesee County,Sep-20,39
Gown protective,Genesee County,Oct-20,42
Gown protective,Genesee County,Nov-20,45
Gown protective,Genesee County,Dec-20,38
Gown protective,Washtenaw County,Jan-20,72
Gown protective,Washtenaw County,Feb-20,73
Gown protective,Washtenaw County,Mar-20,71
Gown protective,Washtenaw County,Apr-20,75
Gown protective,Washtenaw County,May-20,73
Gown protective,Washtenaw County,Jun-20,74
Gown protective,Washtenaw County,Jul-20,64
Gown protective,Washtenaw County,Aug-20,65
Gown protective,Washtenaw County,Sep-20,64
Gown protective,Washtenaw County,Oct-20,64
Gown protective,Washtenaw County,Nov-20,63
Gown protective,Washtenaw County,Dec-20,58
Gown protective,Washtenaw County,Jan-20,60
Gown protective,Washtenaw County,Feb-20,64
Gown protective,Washtenaw County,Mar-20,59
Gown protective,Washtenaw County,Apr-20,60
Gown protective,Washtenaw County,May-20,61
Gown protective,Washtenaw County,Jun-20,61
Gown protective,Washtenaw County,Jul-20,49
Gown protective,Washtenaw County,Aug-20,52
Gown protective,Washtenaw County,Sep-20,46
Gown protective,Washtenaw County,Oct-20,45
Gown protective,Washtenaw County,Nov-20,47
Gown protective,Washtenaw County,Dec-20,47
Gown protective,Kent County,Jan-20,83
Gown protective,Kent County,Feb-20,79
Gown protective,Kent County,Mar-20,75
Gown protective,Kent County,Apr-20,83
Gown protective,Kent County,May-20,83
Gown protective,Kent County,Jun-20,76
Gown protective,Kent County,Jul-20,66
Gown protective,Kent County,Aug-20,69
Gown protective,Kent County,Sep-20,66
Gown protective,Kent County,Oct-20,63
Gown protective,Kent County,Nov-20,65
Gown protective,Kent County,Dec-20,63
Gown protective,Kent County,Jan-20,69
Gown protective,Kent County,Feb-20,70
Gown protective,Kent County,Mar-20,70
Gown protective,Kent County,Apr-20,70
Gown protective,Kent County,May-20,65
Gown protective,Kent County,Jun-20,61
Gown protective,Kent County,Jul-20,53
Gown protective,Kent County,Aug-20,56
Gown protective,Kent County,Sep-20,54
Gown protective,Kent County,Oct-20,52
Gown protective,Kent County,Nov-20,47
Gown protective,Kent County,Dec-20,49
Gown protective,Saginaw County,Jan-20,22
Gown protective,Saginaw County,Feb-20,30
Gown protective,Saginaw County,Mar-20,22
Gown protective,Saginaw County,Apr-20,26
Gown protective,Saginaw County,May-20,23
Gown protective,Saginaw County,Jun-20,25
Gown protective,Saginaw County,Jul-20,23
Gown protective,Saginaw County,Aug-20,18
Gown protective,Saginaw County,Sep-20,22
Gown protective,Saginaw County,Oct-20,17
Gown protective,Saginaw County,Nov-20,19
Gown protective,Saginaw County,Dec-20,16
Gown protective,Saginaw County,Jan-20,20
Gown protective,Saginaw County,Feb-20,18
Gown protective,Saginaw County,Mar-20,25
Gown protective,Saginaw County,Apr-20,17
Gown protective,Saginaw County,May-20,22
Gown protective,Saginaw County,Jun-20,20
Gown protective,Saginaw County,Jul-20,16
Gown protective,Saginaw County,Aug-20,17
Gown protective,Saginaw County,Sep-20,22
Gown protective,Saginaw County,Oct-20,15
Gown protective,Saginaw County,Nov-20,17
Gown protective,Saginaw County,Dec-20,17
Gown protective,Ingham County,Jan-20,68
Gown protective,Ingham County,Feb-20,65
Gown protective,Ingham County,Mar-20,59
Gown protective,Ingham County,Apr-20,69
Gown protective,Ingham County,May-20,65
Gown protective,Ingham County,Jun-20,61
Gown protective,Ingham County,Jul-20,52
Gown protective,Ingham County,Aug-20,58
Gown protective,Ingham County,Sep-20,57
Gown protective,Ingham County,Oct-20,55
Gown protective,Ingham County,Nov-20,52
Gown protective,Ingham County,Dec-20,47
Gown protective,Ingham County,Jan-20,55
Gown protective,Ingham County,Feb-20,56
Gown protective,Ingham County,Mar-20,53
Gown protective,Ingham County,Apr-20,52
Gown protective,Ingham County,May-20,56
Gown protective,Ingham County,Jun-20,48
Gown protective,Ingham County,Jul-20,45
Gown protective,Ingham County,Aug-20,43
Gown protective,Ingham County,Sep-20,39
Gown protective,Ingham County,Oct-20,38
Gown protective,Ingham County,Nov-20,45
Gown protective,Ingham County,Dec-20,37
Gown protective,Livingston County,Jan-20,32
Gown protective,Livingston County,Feb-20,34
Gown protective,Livingston County,Mar-20,36
Gown protective,Livingston County,Apr-20,37
Gown protective,Livingston County,May-20,33
Gown protective,Livingston County,Jun-20,38
Gown protective,Livingston County,Jul-20,29
Gown protective,Livingston County,Aug-20,32
Gown protective,Livingston County,Sep-20,29
Gown protective,Livingston County,Oct-20,30
Gown protective,Livingston County,Nov-20,32
Gown protective,Livingston County,Dec-20,28
Gown protective,Livingston County,Jan-20,32
Gown protective,Livingston County,Feb-20,30
Gown protective,Livingston County,Mar-20,33
Gown protective,Livingston County,Apr-20,30
Gown protective,Livingston County,May-20,24
Gown protective,Livingston County,Jun-20,33
Gown protective,Livingston County,Jul-20,28
Gown protective,Livingston County,Aug-20,22
Gown protective,Livingston County,Sep-20,23
Gown protective,Livingston County,Oct-20,20
Gown protective,Livingston County,Nov-20,19
Gown protective,Livingston County,Dec-20,26
Gown protective,St. Clair County,Jan-20,87
Gown protective,St. Clair County,Feb-20,82
Gown protective,St. Clair County,Mar-20,87
Gown protective,St. Clair County,Apr-20,88
Gown protective,St. Clair County,May-20,83
Gown protective,St. Clair County,Jun-20,83
Gown protective,St. Clair County,Jul-20,81
Gown protective,St. Clair County,Aug-20,76
Gown protective,St. Clair County,Sep-20,76
Gown protective,St. Clair County,Oct-20,76
Gown protective,St. Clair County,Nov-20,70
Gown protective,St. Clair County,Dec-20,72
Gown protective,St. Clair County,Jan-20,73
Gown protective,St. Clair County,Feb-20,72
Gown protective,St. Clair County,Mar-20,73
Gown protective,St. Clair County,Apr-20,64
Gown protective,St. Clair County,May-20,63
Gown protective,St. Clair County,Jun-20,64
Gown protective,St. Clair County,Jul-20,64
Gown protective,St. Clair County,Aug-20,63
Gown protective,St. Clair County,Sep-20,58
Gown protective,St. Clair County,Oct-20,63
Gown protective,St. Clair County,Nov-20,59
Gown protective,St. Clair County,Dec-20,59
Gown protective,Monroe County,Jan-20,64
Gown protective,Monroe County,Feb-20,63
Gown protective,Monroe County,Mar-20,58
Gown protective,Monroe County,Apr-20,54
Gown protective,Monroe County,May-20,53
Gown protective,Monroe County,Jun-20,53
Gown protective,Monroe County,Jul-20,60
Gown protective,Monroe County,Aug-20,53
Gown protective,Monroe County,Sep-20,54
Gown protective,Monroe County,Oct-20,53
Gown protective,Monroe County,Nov-20,54
Gown protective,Monroe County,Dec-20,55
Gown protective,Monroe County,Jan-20,46
Gown protective,Monroe County,Feb-20,46
Gown protective,Monroe County,Mar-20,47
Gown protective,Monroe County,Apr-20,43
Gown protective,Monroe County,May-20,49
Gown protective,Monroe County,Jun-20,43
Gown protective,Monroe County,Jul-20,43
Gown protective,Monroe County,Aug-20,44
Gown protective,Monroe County,Sep-20,41
Gown protective,Monroe County,Oct-20,42
Gown protective,Monroe County,Nov-20,38
Gown protective,Monroe County,Dec-20,37
Scrubs tops,Wayne County,Jan-20,28
Scrubs tops,Wayne County,Feb-20,28
Scrubs tops,Wayne County,Mar-20,22
Scrubs tops,Wayne County,Apr-20,27
Scrubs tops,Wayne County,May-20,27
Scrubs tops,Wayne County,Jun-20,27
Scrubs tops,Wayne County,Jul-20,21
Scrubs tops,Wayne County,Aug-20,28
Scrubs tops,Wayne County,Sep-20,19
Scrubs tops,Wayne County,Oct-20,22
Scrubs tops,Wayne County,Nov-20,27
Scrubs tops,Wayne County,Dec-20,21
Scrubs tops,Wayne County,Jan-20,25
Scrubs tops,Wayne County,Feb-20,27
Scrubs tops,Wayne County,Mar-20,23
Scrubs tops,Wayne County,Apr-20,24
Scrubs tops,Wayne County,May-20,22
Scrubs tops,Wayne County,Jun-20,26
Scrubs tops,Wayne County,Jul-20,18
Scrubs tops,Wayne County,Aug-20,17
Scrubs tops,Wayne County,Sep-20,20
Scrubs tops,Wayne County,Oct-20,23
Scrubs tops,Wayne County,Nov-20,17
Scrubs tops,Wayne County,Dec-20,18
Scrubs tops,Oakland County,Jan-20,20
Scrubs tops,Oakland County,Feb-20,23
Scrubs tops,Oakland County,Mar-20,22
Scrubs tops,Oakland County,Apr-20,16
Scrubs tops,Oakland County,May-20,16
Scrubs tops,Oakland County,Jun-20,17
Scrubs tops,Oakland County,Jul-20,20
Scrubs tops,Oakland County,Aug-20,20
Scrubs tops,Oakland County,Sep-20,20
Scrubs tops,Oakland County,Oct-20,19
Scrubs tops,Oakland County,Nov-20,12
Scrubs tops,Oakland County,Dec-20,19
Scrubs tops,Oakland County,Jan-20,21
Scrubs tops,Oakland County,Feb-20,17
Scrubs tops,Oakland County,Mar-20,15
Scrubs tops,Oakland County,Apr-20,15
Scrubs tops,Oakland County,May-20,13
Scrubs tops,Oakland County,Jun-20,17
Scrubs tops,Oakland County,Jul-20,10
Scrubs tops,Oakland County,Aug-20,14
Scrubs tops,Oakland County,Sep-20,11
Scrubs tops,Oakland County,Oct-20,12
Scrubs tops,Oakland County,Nov-20,11
Scrubs tops,Oakland County,Dec-20,16
Scrubs tops,Macomb County,Jan-20,62
Scrubs tops,Macomb County,Feb-20,58
Scrubs tops,Macomb County,Mar-20,55
Scrubs tops,Macomb County,Apr-20,59
Scrubs tops,Macomb County,May-20,53
Scrubs tops,Macomb County,Jun-20,54
Scrubs tops,Macomb County,Jul-20,53
Scrubs tops,Macomb County,Aug-20,49
Scrubs tops,Macomb County,Sep-20,54
Scrubs tops,Macomb County,Oct-20,53
Scrubs tops,Macomb County,Nov-20,44
Scrubs tops,Macomb County,Dec-20,51
Scrubs tops,Macomb County,Jan-20,52
Scrubs tops,Macomb County,Feb-20,48
Scrubs tops,Macomb County,Mar-20,47
Scrubs tops,Macomb County,Apr-20,49
Scrubs tops,Macomb County,May-20,46
Scrubs tops,Macomb County,Jun-20,42
Scrubs tops,Macomb County,Jul-20,37
Scrubs tops,Macomb County,Aug-20,36
Scrubs tops,Macomb County,Sep-20,38
Scrubs tops,Macomb County,Oct-20,35
Scrubs tops,Macomb County,Nov-20,35
Scrubs tops,Macomb County,Dec-20,33
Scrubs tops,Genesee County,Jan-20,46
Scrubs tops,Genesee County,Feb-20,41
Scrubs tops,Genesee County,Mar-20,44
Scrubs tops,Genesee County,Apr-20,38
Scrubs tops,Genesee County,May-20,43
Scrubs tops,Genesee County,Jun-20,39
Scrubs tops,Genesee County,Jul-20,40
Scrubs tops,Genesee County,Aug-20,36
Scrubs tops,Genesee County,Sep-20,38
Scrubs tops,Genesee County,Oct-20,36
Scrubs tops,Genesee County,Nov-20,34
Scrubs tops,Genesee County,Dec-20,29
Scrubs tops,Genesee County,Jan-20,32
Scrubs tops,Genesee County,Feb-20,34
Scrubs tops,Genesee County,Mar-20,38
Scrubs tops,Genesee County,Apr-20,34
Scrubs tops,Genesee County,May-20,37
Scrubs tops,Genesee County,Jun-20,33
Scrubs tops,Genesee County,Jul-20,29
Scrubs tops,Genesee County,Aug-20,30
Scrubs tops,Genesee County,Sep-20,27
Scrubs tops,Genesee County,Oct-20,31
Scrubs tops,Genesee County,Nov-20,30
Scrubs tops,Genesee County,Dec-20,23
Scrubs tops,Washtenaw County,Jan-20,27
Scrubs tops,Washtenaw County,Feb-20,30
Scrubs tops,Washtenaw County,Mar-20,30
Scrubs tops,Washtenaw County,Apr-20,29
Scrubs tops,Washtenaw County,May-20,25
Scrubs tops,Washtenaw County,Jun-20,25
Scrubs tops,Washtenaw County,Jul-20,28
Scrubs tops,Washtenaw County,Aug-20,21
Scrubs tops,Washtenaw County,Sep-20,26
Scrubs tops,Washtenaw County,Oct-20,27
Scrubs tops,Washtenaw County,Nov-20,25
Scrubs tops,Washtenaw County,Dec-20,22
Scrubs tops,Washtenaw County,Jan-20,22
Scrubs tops,Washtenaw County,Feb-20,22
Scrubs tops,Washtenaw County,Mar-20,29
Scrubs tops,Washtenaw County,Apr-20,24
Scrubs tops,Washtenaw County,May-20,21
Scrubs tops,Washtenaw County,Jun-20,25
Scrubs tops,Washtenaw County,Jul-20,19
Scrubs tops,Washtenaw County,Aug-20,21
Scrubs tops,Washtenaw County,Sep-20,18
Scrubs tops,Washtenaw County,Oct-20,16
Scrubs tops,Washtenaw County,Nov-20,18
Scrubs tops,Washtenaw County,Dec-20,16
Scrubs tops,Kent County,Jan-20,108
Scrubs tops,Kent County,Feb-20,108
Scrubs tops,Kent County,Mar-20,105
Scrubs tops,Kent County,Apr-20,108
Scrubs tops,Kent County,May-20,112
Scrubs tops,Kent County,Jun-20,104
Scrubs tops,Kent County,Jul-20,90
Scrubs tops,Kent County,Aug-20,89
Scrubs tops,Kent County,Sep-20,85
Scrubs tops,Kent County,Oct-20,88
Scrubs tops,Kent County,Nov-20,91
Scrubs tops,Kent County,Dec-20,84
Scrubs tops,Kent County,Jan-20,94
Scrubs tops,Kent County,Feb-20,87
Scrubs tops,Kent County,Mar-20,90
Scrubs tops,Kent County,Apr-20,96
Scrubs tops,Kent County,May-20,90
Scrubs tops,Kent County,Jun-20,90
Scrubs tops,Kent County,Jul-20,72
Scrubs tops,Kent County,Aug-20,79
Scrubs tops,Kent County,Sep-20,76
Scrubs tops,Kent County,Oct-20,72
Scrubs tops,Kent County,Nov-20,72
Scrubs tops,Kent County,Dec-20,68
Scrubs tops,Saginaw County,Jan-20,36
Scrubs tops,Saginaw County,Feb-20,45
Scrubs tops,Saginaw County,Mar-20,44
Scrubs tops,Saginaw County,Apr-20,43
Scrubs tops,Saginaw County,May-20,38
Scrubs tops,Saginaw County,Jun-20,39
Scrubs tops,Saginaw County,Jul-20,37
Scrubs tops,Saginaw County,Aug-20,37
Scrubs tops,Saginaw County,Sep-20,32
Scrubs tops,Saginaw County,Oct-20,33
Scrubs tops,Saginaw County,Nov-20,38
Scrubs tops,Saginaw County,Dec-20,37
Scrubs tops,Saginaw County,Jan-20,37
Scrubs tops,Saginaw County,Feb-20,31
Scrubs tops,Saginaw County,Mar-20,35
Scrubs tops,Saginaw County,Apr-20,31
Scrubs tops,Saginaw County,May-20,31
Scrubs tops,Saginaw County,Jun-20,36
Scrubs tops,Saginaw County,Jul-20,31
Scrubs tops,Saginaw County,Aug-20,29
Scrubs tops,Saginaw County,Sep-20,31
Scrubs tops,Saginaw County,Oct-20,24
Scrubs tops,Saginaw County,Nov-20,24
Scrubs tops,Saginaw County,Dec-20,28
Scrubs tops,Ingham County,Jan-20,20
Scrubs tops,Ingham County,Feb-20,18
Scrubs tops,Ingham County,Mar-20,23
Scrubs tops,Ingham County,Apr-20,20
Scrubs tops,Ingham County,May-20,28
Scrubs tops,Ingham County,Jun-20,27
Scrubs tops,Ingham County,Jul-20,17
Scrubs tops,Ingham County,Aug-20,20
Scrubs tops,Ingham County,Sep-20,20
Scrubs tops,Ingham County,Oct-20,22
Scrubs tops,Ingham County,Nov-20,22
Scrubs tops,Ingham County,Dec-20,15
Scrubs tops,Ingham County,Jan-20,21
Scrubs tops,Ingham County,Feb-20,16
Scrubs tops,Ingham County,Mar-20,19
Scrubs tops,Ingham County,Apr-20,18
Scrubs tops,Ingham County,May-20,23
Scrubs tops,Ingham County,Jun-20,21
Scrubs tops,Ingham County,Jul-20,14
Scrubs tops,Ingham County,Aug-20,14
Scrubs tops,Ingham County,Sep-20,14
Scrubs tops,Ingham County,Oct-20,12
Scrubs tops,Ingham County,Nov-20,20
Scrubs tops,Ingham County,Dec-20,15
Scrubs tops,Livingston County,Jan-20,7
Scrubs tops,Livingston County,Feb-20,9
Scrubs tops,Livingston County,Mar-20,6
Scrubs tops,Livingston County,Apr-20,7
Scrubs tops,Livingston County,May-20,6
Scrubs tops,Livingston County,Jun-20,7
Scrubs tops,Livingston County,Jul-20,5
Scrubs tops,Livingston County,Aug-20,6
Scrubs tops,Livingston County,Sep-20,5
Scrubs tops,Livingston County,Oct-20,12
Scrubs tops,Livingston County,Nov-20,7
Scrubs tops,Livingston County,Dec-20,9
Scrubs tops,Livingston County,Jan-20,5
Scrubs tops,Livingston County,Feb-20,6
Scrubs tops,Livingston County,Mar-20,12
Scrubs tops,Livingston County,Apr-20,8
Scrubs tops,Livingston County,May-20,7
Scrubs tops,Livingston County,Jun-20,10
Scrubs tops,Livingston County,Jul-20,2
Scrubs tops,Livingston County,Aug-20,7
Scrubs tops,Livingston County,Sep-20,4
Scrubs tops,Livingston County,Oct-20,3
Scrubs tops,Livingston County,Nov-20,9
Scrubs tops,Livingston County,Dec-20,10
Scrubs tops,St. Clair County,Jan-20,33
Scrubs tops,St. Clair County,Feb-20,37
Scrubs tops,St. Clair County,Mar-20,29
Scrubs tops,St. Clair County,Apr-20,36
Scrubs tops,St. Clair County,May-20,30
Scrubs tops,St. Clair County,Jun-20,29
Scrubs tops,St. Clair County,Jul-20,28
Scrubs tops,St. Clair County,Aug-20,36
Scrubs tops,St. Clair County,Sep-20,30
Scrubs tops,St. Clair County,Oct-20,32
Scrubs tops,St. Clair County,Nov-20,28
Scrubs tops,St. Clair County,Dec-20,26
Scrubs tops,St. Clair County,Jan-20,32
Scrubs tops,St. Clair County,Feb-20,28
Scrubs tops,St. Clair County,Mar-20,32
Scrubs tops,St. Clair County,Apr-20,27
Scrubs tops,St. Clair County,May-20,25
Scrubs tops,St. Clair County,Jun-20,29
Scrubs tops,St. Clair County,Jul-20,27
Scrubs tops,St. Clair County,Aug-20,25
Scrubs tops,St. Clair County,Sep-20,21
Scrubs tops,St. Clair County,Oct-20,20
Scrubs tops,St. Clair County,Nov-20,19
Scrubs tops,St. Clair County,Dec-20,19
Scrubs tops,Monroe County,Jan-20,11
Scrubs tops,Monroe County,Feb-20,7
Scrubs tops,Monroe County,Mar-20,12
Scrubs tops,Monroe County,Apr-20,8
Scrubs tops,Monroe County,May-20,10
Scrubs tops,Monroe County,Jun-20,11
Scrubs tops,Monroe County,Jul-20,6
Scrubs tops,Monroe County,Aug-20,6
Scrubs tops,Monroe County,Sep-20,6
Scrubs tops,Monroe County,Oct-20,10
Scrubs tops,Monroe County,Nov-20,13
Scrubs tops,Monroe County,Dec-20,7
Scrubs tops,Monroe County,Jan-20,9
Scrubs tops,Monroe County,Feb-20,13
Scrubs tops,Monroe County,Mar-20,9
Scrubs tops,Monroe County,Apr-20,6
Scrubs tops,Monroe County,May-20,12
Scrubs tops,Monroe County,Jun-20,6
Scrubs tops,Monroe County,Jul-20,11
Scrubs tops,Monroe County,Aug-20,11
Scrubs tops,Monroe County,Sep-20,6
Scrubs tops,Monroe County,Oct-20,4
Scrubs tops,Monroe County,Nov-20,9
Scrubs tops,Monroe County,Dec-20,12
Lab screening test kit,Wayne County,Jan-20,6
Lab screening test kit,Wayne County,Feb-20,2
Lab screening test kit,Wayne County,Mar-20,5
Lab screening test kit,Wayne County,Apr-20,4
Lab screening test kit,Wayne County,May-20,4
Lab screening test kit,Wayne County,Jun-20,3
Lab screening test kit,Wayne County,Jul-20,7
Lab screening test kit,Wayne County,Aug-20,7
Lab screening test kit,Wayne County,Sep-20,7
Lab screening test kit,Wayne County,Oct-20,6
Lab screening test kit,Wayne County,Nov-20,5
Lab screening test kit,Wayne County,Dec-20,3
Lab screening test kit,Wayne County,Jan-20,5
Lab screening test kit,Wayne County,Feb-20,2
Lab screening test kit,Wayne County,Mar-20,6
Lab screening test kit,Wayne County,Apr-20,4
Lab screening test kit,Wayne County,May-20,1
Lab screening test kit,Wayne County,Jun-20,2
Lab screening test kit,Wayne County,Jul-20,2
Lab screening test kit,Wayne County,Aug-20,0
Lab screening test kit,Wayne County,Sep-20,8
Lab screening test kit,Wayne County,Oct-20,9
Lab screening test kit,Wayne County,Nov-20,3
Lab screening test kit,Wayne County,Dec-20,6
Lab screening test kit,Oakland County,Jan-20,74
Lab screening test kit,Oakland County,Feb-20,71
Lab screening test kit,Oakland County,Mar-20,78
Lab screening test kit,Oakland County,Apr-20,73
Lab screening test kit,Oakland County,May-20,76
Lab screening test kit,Oakland County,Jun-20,73
Lab screening test kit,Oakland County,Jul-20,78
Lab screening test kit,Oakland County,Aug-20,73
Lab screening test kit,Oakland County,Sep-20,79
Lab screening test kit,Oakland County,Oct-20,80
Lab screening test kit,Oakland County,Nov-20,75
Lab screening test kit,Oakland County,Dec-20,77
Lab screening test kit,Oakland County,Jan-20,83
Lab screening test kit,Oakland County,Feb-20,85
Lab screening test kit,Oakland County,Mar-20,85
Lab screening test kit,Oakland County,Apr-20,87
Lab screening test kit,Oakland County,May-20,81
Lab screening test kit,Oakland County,Jun-20,88
Lab screening test kit,Oakland County,Jul-20,85
Lab screening test kit,Oakland County,Aug-20,78
Lab screening test kit,Oakland County,Sep-20,79
Lab screening test kit,Oakland County,Oct-20,85
Lab screening test kit,Oakland County,Nov-20,84
Lab screening test kit,Oakland County,Dec-20,80
Lab screening test kit,Macomb County,Jan-20,72
Lab screening test kit,Macomb County,Feb-20,70
Lab screening test kit,Macomb County,Mar-20,72
Lab screening test kit,Macomb County,Apr-20,72
Lab screening test kit,Macomb County,May-20,76
Lab screening test kit,Macomb County,Jun-20,78
Lab screening test kit,Macomb County,Jul-20,72
Lab screening test kit,Macomb County,Aug-20,72
Lab screening test kit,Macomb County,Sep-20,70
Lab screening test kit,Macomb County,Oct-20,69
Lab screening test kit,Macomb County,Nov-20,72
Lab screening test kit,Macomb County,Dec-20,77
Lab screening test kit,Macomb County,Jan-20,77
Lab screening test kit,Macomb County,Feb-20,80
Lab screening test kit,Macomb County,Mar-20,80
Lab screening test kit,Macomb County,Apr-20,82
Lab screening test kit,Macomb County,May-20,83
Lab screening test kit,Macomb County,Jun-20,84
Lab screening test kit,Macomb County,Jul-20,77
Lab screening test kit,Macomb County,Aug-20,75
Lab screening test kit,Macomb County,Sep-20,80
Lab screening test kit,Macomb County,Oct-20,77
Lab screening test kit,Macomb County,Nov-20,86
Lab screening test kit,Macomb County,Dec-20,87
Lab screening test kit,Genesee County,Jan-20,76
Lab screening test kit,Genesee County,Feb-20,79
Lab screening test kit,Genesee County,Mar-20,77
Lab screening test kit,Genesee County,Apr-20,83
Lab screening test kit,Genesee County,May-20,78
Lab screening test kit,Genesee County,Jun-20,79
Lab screening test kit,Genesee County,Jul-20,80
Lab screening test kit,Genesee County,Aug-20,79
Lab screening test kit,Genesee County,Sep-20,85
Lab screening test kit,Genesee County,Oct-20,80
Lab screening test kit,Genesee County,Nov-20,81
Lab screening test kit,Genesee County,Dec-20,83
Lab screening test kit,Genesee County,Jan-20,87
Lab screening test kit,Genesee County,Feb-20,92
Lab screening test kit,Genesee County,Mar-20,84
Lab screening test kit,Genesee County,Apr-20,94
Lab screening test kit,Genesee County,May-20,90
Lab screening test kit,Genesee County,Jun-20,86
Lab screening test kit,Genesee County,Jul-20,84
Lab screening test kit,Genesee County,Aug-20,90
Lab screening test kit,Genesee County,Sep-20,85
Lab screening test kit,Genesee County,Oct-20,93
Lab screening test kit,Genesee County,Nov-20,88
Lab screening test kit,Genesee County,Dec-20,89
Lab screening test kit,Washtenaw County,Jan-20,26
Lab screening test kit,Washtenaw County,Feb-20,30
Lab screening test kit,Washtenaw County,Mar-20,30
Lab screening test kit,Washtenaw County,Apr-20,34
Lab screening test kit,Washtenaw County,May-20,27
Lab screening test kit,Washtenaw County,Jun-20,31
Lab screening test kit,Washtenaw County,Jul-20,31
Lab screening test kit,Washtenaw County,Aug-20,26
Lab screening test kit,Washtenaw County,Sep-20,29
Lab screening test kit,Washtenaw County,Oct-20,24
Lab screening test kit,Washtenaw County,Nov-20,30
Lab screening test kit,Washtenaw County,Dec-20,28
Lab screening test kit,Washtenaw County,Jan-20,28
Lab screening test kit,Washtenaw County,Feb-20,36
Lab screening test kit,Washtenaw County,Mar-20,34
Lab screening test kit,Washtenaw County,Apr-20,30
Lab screening test kit,Washtenaw County,May-20,31
Lab screening test kit,Washtenaw County,Jun-20,39
Lab screening test kit,Washtenaw County,Jul-20,27
Lab screening test kit,Washtenaw County,Aug-20,28
Lab screening test kit,Washtenaw County,Sep-20,33
Lab screening test kit,Washtenaw County,Oct-20,29
Lab screening test kit,Washtenaw County,Nov-20,30
Lab screening test kit,Washtenaw County,Dec-20,36
Lab screening test kit,Kent County,Jan-20,118
Lab screening test kit,Kent County,Feb-20,119
