product,market,month,value
Gown protective,Macomb County,Sep-20,728
Gown protective,Macomb County,Oct-20,756
Gown protective,Macomb County,Nov-20,741
Gown protective,Macomb County,Dec-20,721
Gown protective,Genesee County,Jan-20,748
Gown protective,Genesee County,Feb-20,713
Gown protective,Genesee County,Mar-20,750
Gown protective,Genesee County,Apr-20,747
Gown protective,Genesee County,May-20,744
Gown protective,Genesee County,Jun-20,713
Gown protective,Genesee County,Jul-20,727
Gown protective,Genesee County,Aug-20,756
Gown protective,Genesee County,Sep-20,719
Gown protective,Genesee County,Oct-20,755
Gown protective,Genesee County,Nov-20,740
Gown protective,Genesee County,Dec-20,737
Gown protective,Genesee County,Jan-20,715
Gown protective,Genesee County,Feb-20,712
Gown protective,Genesee County,Mar-20,738
Gown protective,Genesee County,Apr-20,753
Gown protective,Genesee County,May-20,751
Gown protective,Genesee County,Jun-20,722
Gown protective,Genesee County,Jul-20,746
Gown protective,Genesee County,Aug-20,753
Gown protective,Genesee County,Sep-20,730
Gown protective,Genesee County,Oct-20,738
Gown protective,Genesee County,Nov-20,749
Gown protective,Genesee County,Dec-20,739
Gown protective,Washtenaw County,Jan-20,713
Gown protective,Washtenaw County,Feb-20,757
Gown protective,Washtenaw County,Mar-20,721
Gown protective,Washtenaw County,Apr-20,743
Gown protective,Washtenaw County,May-20,720
Gown protective,Washtenaw County,Jun-20,712
Gown protective,Washtenaw County,Jul-20,736
Gown protective,Washtenaw County,Aug-20,729
Gown protective,Washtenaw County,Sep-20,714
Gown protective,Washtenaw County,Oct-20,733
Gown protective,Washtenaw County,Nov-20,750
Gown protective,Washtenaw County,Dec-20,721
Gown protective,Washtenaw County,Jan-20,729
Gown protective,Washtenaw County,Feb-20,739
Gown protective,Washtenaw County,Mar-20,712
Gown protective,Washtenaw County,Apr-20,721
Gown protective,Washtenaw County,May-20,721
Gown protective,Washtenaw County,Jun-20,746
Gown protective,Washtenaw County,Jul-20,749
Gown protective,Washtenaw County,Aug-20,738
Gown protective,Washtenaw County,Sep-20,728
Gown protective,Washtenaw County,Oct-20,734
Gown protective,Washtenaw County,Nov-20,721
Gown protective,Washtenaw County,Dec-20,737
Gown protective,Kent County,Jan-20,728
Gown protective,Kent County,Feb-20,757
Gown protective,Kent County,Mar-20,714
Gown protective,Kent County,Apr-20,759
Gown protective,Kent County,May-20,730
Gown protective,Kent County,Jun-20,718
Gown protective,Kent County,Jul-20,711
Gown protective,Kent County,Aug-20,729
Gown protective,Kent County,Sep-20,741
Gown protective,Kent County,Oct-20,734
Gown protective,Kent County,Nov-20,733
Gown protective,Kent County,Dec-20,748
Gown protective,Kent County,Jan-20,735
Gown protective,Kent County,Feb-20,746
Gown protective,Kent County,Mar-20,726
Gown protective,Kent County,Apr-20,734
Gown protective,Kent County,May-20,728
Gown protective,Kent County,Jun-20,738
Gown protective,Kent County,Jul-20,759
Gown protective,Kent County,Aug-20,738
Gown protective,Kent County,Sep-20,735
Gown protective,Kent County,Oct-20,754
Gown protective,Kent County,Nov-20,732
Gown protective,Kent County,Dec-20,754
Gown protective,Saginaw County,Jan-20,735
Gown protective,Saginaw County,Feb-20,749
Gown protective,Saginaw County,Mar-20,756
Gown protective,Saginaw County,Apr-20,730
Gown protective,Saginaw County,May-20,742
Gown protective,Saginaw County,Jun-20,733
Gown protective,Saginaw County,Jul-20,713
Gown protective,Saginaw County,Aug-20,753
Gown protective,Saginaw County,Sep-20,724
Gown protective,Saginaw County,Oct-20,720
Gown protective,Saginaw County,Nov-20,749
Gown protective,Saginaw County,Dec-20,718
Gown protective,Saginaw County,Jan-20,728
Gown protective,Saginaw County,Feb-20,719
Gown protective,Saginaw County,Mar-20,724
Gown protective,Saginaw County,Apr-20,738
Gown protective,Saginaw County,May-20,731
Gown protective,Saginaw County,Jun-20,713
Gown protective,Saginaw County,Jul-20,736
Gown protective,Saginaw County,Aug-20,735
Gown protective,Saginaw County,Sep-20,720
Gown protective,Saginaw County,Oct-20,750
Gown protective,Saginaw County,Nov-20,728
Gown protective,Saginaw County,Dec-20,747
Gown protective,Ingham County,Jan-20,728
Gown protective,Ingham County,Feb-20,756
Gown protective,Ingham County,Mar-20,739
Gown protective,Ingham County,Apr-20,731
Gown protective,Ingham County,May-20,757
Gown protective,Ingham County,Jun-20,735
Gown protective,Ingham County,Jul-20,740
Gown protective,Ingham County,Aug-20,731
Gown protective,Ingham County,Sep-20,735
Gown protective,Ingham County,Oct-20,729
Gown protective,Ingham County,Nov-20,723
Gown protective,Ingham County,Dec-20,724
Gown protective,Ingham County,Jan-20,726
Gown protective,Ingham County,Feb-20,752
Gown protective,Ingham County,Mar-20,738
Gown protective,Ingham County,Apr-20,739
Gown protective,Ingham County,May-20,738
Gown protective,Ingham County,Jun-20,722
Gown protective,Ingham County,Jul-20,718
Gown protective,Ingham County,Aug-20,730
Gown protective,Ingham County,Sep-20,754
Gown protective,Ingham County,Oct-20,748
Gown protective,Ingham County,Nov-20,756
Gown protective,Ingham County,Dec-20,718
Gown protective,Livingston County,Jan-20,746
Gown protective,Livingston County,Feb-20,734
Gown protective,Livingston County,Mar-20,737
Gown protective,Livingston County,Apr-20,729
Gown protective,Livingston County,May-20,728
Gown protective,Livingston County,Jun-20,721
Gown protective,Livingston County,Jul-20,744
Gown protective,Livingston County,Aug-20,755
Gown protective,Livingston County,Sep-20,732
Gown protective,Livingston County,Oct-20,744
Gown protective,Livingston County,Nov-20,728
Gown protective,Livingston County,Dec-20,725
Gown protective,Livingston County,Jan-20,716
Gown protective,Livingston County,Feb-20,738
Gown protective,Livingston County,Mar-20,740
Gown protective,Livingston County,Apr-20,714
Gown protective,Livingston County,May-20,757
Gown protective,Livingston County,Jun-20,741
Gown protective,Livingston County,Jul-20,747
Gown protective,Livingston County,Aug-20,724
Gown protective,Livingston County,Sep-20,752
Gown protective,Livingston County,Oct-20,733
Gown protective,Livingston County,Nov-20,725
Gown protective,Livingston County,Dec-20,743
Gown protective,St. Clair County,Jan-20,712
Gown protective,St. Clair County,Feb-20,713
Gown protective,St. Clair County,Mar-20,724
Gown protective,St. Clair County,Apr-20,716
Gown protective,St. Clair County,May-20,747
Gown protective,St. Clair County,Jun-20,735
Gown protective,St. Clair County,Jul-20,738
Gown protective,St. Clair County,Aug-20,748
Gown protective,St. Clair County,Sep-20,731
Gown protective,St. Clair County,Oct-20,742
Gown protective,St. Clair County,Nov-20,732
Gown protective,St. Clair County,Dec-20,744
Gown protective,St. Clair County,Jan-20,756
Gown protective,St. Clair County,Feb-20,729
Gown protective,St. Clair County,Mar-20,753
Gown protective,St. Clair County,Apr-20,745
Gown protective,St. Clair County,May-20,752
Gown protective,St. Clair County,Jun-20,721
Gown protective,St. Clair County,Jul-20,750
Gown protective,St. Clair County,Aug-20,752
Gown protective,St. Clair County,Sep-20,734
Gown protective,St. Clair County,Oct-20,727
Gown protective,St. Clair County,Nov-20,753
Gown protective,St. Clair County,Dec-20,743
Gown protective,Monroe County,Jan-20,724
Gown protective,Monroe County,Feb-20,715
Gown protective,Monroe County,Mar-20,739
Gown protective,Monroe County,Apr-20,759
Gown protective,Monroe County,May-20,758
Gown protective,Monroe County,Jun-20,749
Gown protective,Monroe County,Jul-20,731
Gown protective,Monroe County,Aug-20,712
Gown protective,Monroe County,Sep-20,747
Gown protective,Monroe County,Oct-20,757
Gown protective,Monroe County,Nov-20,756
Gown protective,Monroe County,Dec-20,735
Gown protective,Monroe County,Jan-20,748
Gown protective,Monroe County,Feb-20,729
Gown protective,Monroe County,Mar-20,738
Gown protective,Monroe County,Apr-20,737
Gown protective,Monroe County,May-20,723
Gown protective,Monroe County,Jun-20,724
Gown protective,Monroe County,Jul-20,740
Gown protective,Monroe County,Aug-20,717
Gown protective,Monroe County,Sep-20,732
Gown protective,Monroe County,Oct-20,756
Gown protective,Monroe County,Nov-20,717
Gown protective,Monroe County,Dec-20,742
Scrubs tops,Wayne County,Jan-20,811
Scrubs tops,Wayne County,Feb-20,847
Scrubs tops,Wayne County,Mar-20,839
Scrubs tops,Wayne County,Apr-20,825
Scrubs tops,Wayne County,May-20,814
Scrubs tops,Wayne County,Jun-20,839
Scrubs tops,Wayne County,Jul-20,807
Scrubs tops,Wayne County,Aug-20,825
Scrubs tops,Wayne County,Sep-20,814
Scrubs tops,Wayne County,Oct-20,825
Scrubs tops,Wayne County,Nov-20,806
Scrubs tops,Wayne County,Dec-20,808
Scrubs tops,Wayne County,Jan-20,841
Scrubs tops,Wayne County,Feb-20,830
Scrubs tops,Wayne County,Mar-20,847
Scrubs tops,Wayne County,Apr-20,848
Scrubs tops,Wayne County,May-20,851
Scrubs tops,Wayne County,Jun-20,840
Scrubs tops,Wayne County,Jul-20,826
Scrubs tops,Wayne County,Aug-20,813
Scrubs tops,Wayne County,Sep-20,842
Scrubs tops,Wayne County,Oct-20,816
Scrubs tops,Wayne County,Nov-20,845
Scrubs tops,Wayne County,Dec-20,810
Scrubs tops,Oakland County,Jan-20,848
Scrubs tops,Oakland County,Feb-20,808
Scrubs tops,Oakland County,Mar-20,828
Scrubs tops,Oakland County,Apr-20,830
Scrubs tops,Oakland County,May-20,824
Scrubs tops,Oakland County,Jun-20,845
Scrubs tops,Oakland County,Jul-20,814
Scrubs tops,Oakland County,Aug-20,825
Scrubs tops,Oakland County,Sep-20,837
Scrubs tops,Oakland County,Oct-20,852
Scrubs tops,Oakland County,Nov-20,852
Scrubs tops,Oakland County,Dec-20,852
Scrubs tops,Oakland County,Jan-20,854
Scrubs tops,Oakland County,Feb-20,820
Scrubs tops,Oakland County,Mar-20,826
Scrubs tops,Oakland County,Apr-20,841
Scrubs tops,Oakland County,May-20,820
Scrubs tops,Oakland County,Jun-20,831
Scrubs tops,Oakland County,Jul-20,852
Scrubs tops,Oakland County,Aug-20,843
Scrubs tops,Oakland County,Sep-20,848
Scrubs tops,Oakland County,Oct-20,834
Scrubs tops,Oakland County,Nov-20,829
Scrubs tops,Oakland County,Dec-20,823
Scrubs tops,Macomb County,Jan-20,840
Scrubs tops,Macomb County,Feb-20,823
Scrubs tops,Macomb County,Mar-20,811
Scrubs tops,Macomb County,Apr-20,835
Scrubs tops,Macomb County,May-20,853
Scrubs tops,Macomb County,Jun-20,826
Scrubs tops,Macomb County,Jul-20,853
Scrubs tops,Macomb County,Aug-20,829
Scrubs tops,Macomb County,Sep-20,853
Scrubs tops,Macomb County,Oct-20,852
Scrubs tops,Macomb County,Nov-20,846
Scrubs tops,Macomb County,Dec-20,806
Scrubs tops,Macomb County,Jan-20,820
Scrubs tops,Macomb County,Feb-20,819
Scrubs tops,Macomb County,Mar-20,821
Scrubs tops,Macomb County,Apr-20,839
Scrubs tops,Macomb County,May-20,809
Scrubs tops,Macomb County,Jun-20,835
Scrubs tops,Macomb County,Jul-20,817
Scrubs tops,Macomb County,Aug-20,854
Scrubs tops,Macomb County,Sep-20,852
Scrubs tops,Macomb County,Oct-20,822
Scrubs tops,Macomb County,Nov-20,811
Scrubs tops,Macomb County,Dec-20,810
Scrubs tops,Genesee County,Jan-20,818
Scrubs tops,Genesee County,Feb-20,837
Scrubs tops,Genesee County,Mar-20,852
Scrubs tops,Genesee County,Apr-20,806
Scrubs tops,Genesee County,May-20,819
Scrubs tops,Genesee County,Jun-20,813
Scrubs tops,Genesee County,Jul-20,844
Scrubs tops,Genesee County,Aug-20,837
Scrubs tops,Genesee County,Sep-20,821
Scrubs tops,Genesee County,Oct-20,817
Scrubs tops,Genesee County,Nov-20,831
Scrubs tops,Genesee County,Dec-20,824
Scrubs tops,Genesee County,Jan-20,853
Scrubs tops,Genesee County,Feb-20,817
Scrubs tops,Genesee County,Mar-20,825
Scrubs tops,Genesee County,Apr-20,832
Scrubs tops,Genesee County,May-20,848
Scrubs tops,Genesee County,Jun-20,809
Scrubs tops,Genesee County,Jul-20,836
Scrubs tops,Genesee County,Aug-20,819
Scrubs tops,Genesee County,Sep-20,836
Scrubs tops,Genesee County,Oct-20,806
Scrubs tops,Genesee County,Nov-20,825
Scrubs tops,Genesee County,Dec-20,846
Scrubs tops,Washtenaw County,Jan-20,824
Scrubs tops,Washtenaw County,Feb-20,821
Scrubs tops,Washtenaw County,Mar-20,825
Scrubs tops,Washtenaw County,Apr-20,853
Scrubs tops,Washtenaw County,May-20,809
Scrubs tops,Washtenaw County,Jun-20,833
Scrubs tops,Washtenaw County,Jul-20,839
Scrubs tops,Washtenaw County,Aug-20,826
Scrubs tops,Washtenaw County,Sep-20,837
Scrubs tops,Washtenaw County,Oct-20,854
Scrubs tops,Washtenaw County,Nov-20,844
Scrubs tops,Washtenaw County,Dec-20,825
Scrubs tops,Washtenaw County,Jan-20,854
Scrubs tops,Washtenaw County,Feb-20,820
Scrubs tops,Washtenaw County,Mar-20,815
Scrubs tops,Washtenaw County,Apr-20,807
Scrubs tops,Washtenaw County,May-20,844
Scrubs tops,Washtenaw County,Jun-20,839
Scrubs tops,Washtenaw County,Jul-20,817
Scrubs tops,Washtenaw County,Aug-20,843
Scrubs tops,Washtenaw County,Sep-20,820
Scrubs tops,Washtenaw County,Oct-20,843
Scrubs tops,Washtenaw County,Nov-20,834
Scrubs tops,Washtenaw County,Dec-20,852
Scrubs tops,Kent County,Jan-20,842
Scrubs tops,Kent County,Feb-20,843
Scrubs tops,Kent County,Mar-20,855
Scrubs tops,Kent County,Apr-20,846
Scrubs tops,Kent County,May-20,832
Scrubs tops,Kent County,Jun-20,843
Scrubs tops,Kent County,Jul-20,838
Scrubs tops,Kent County,Aug-20,853
Scrubs tops,Kent County,Sep-20,815
Scrubs tops,Kent County,Oct-20,818
Scrubs tops,Kent County,Nov-20,829
Scrubs tops,Kent County,Dec-20,821
Scrubs tops,Kent County,Jan-20,818
Scrubs tops,Kent County,Feb-20,812
Scrubs tops,Kent County,Mar-20,854
Scrubs tops,Kent County,Apr-20,833
Scrubs tops,Kent County,May-20,827
Scrubs tops,Kent County,Jun-20,831
Scrubs tops,Kent County,Jul-20,838
Scrubs tops,Kent County,Aug-20,854
Scrubs tops,Kent County,Sep-20,845
Scrubs tops,Kent County,Oct-20,837
Scrubs tops,Kent County,Nov-20,855
Scrubs tops,Kent County,Dec-20,854
Scrubs tops,Saginaw County,Jan-20,819
Scrubs tops,Saginaw County,Feb-20,833
Scrubs tops,Saginaw County,Mar-20,813
Scrubs tops,Saginaw County,Apr-20,808
Scrubs tops,Saginaw County,May-20,825
Scrubs tops,Saginaw County,Jun-20,851
Scrubs tops,Saginaw County,Jul-20,809
Scrubs tops,Saginaw County,Aug-20,814
Scrubs tops,Saginaw County,Sep-20,846
Scrubs tops,Saginaw County,Oct-20,836
Scrubs tops,Saginaw County,Nov-20,824
Scrubs tops,Saginaw County,Dec-20,827
Scrubs tops,Saginaw County,Jan-20,825
Scrubs tops,Saginaw County,Feb-20,813
Scrubs tops,Saginaw County,Mar-20,819
Scrubs tops,Saginaw County,Apr-20,810
Scrubs tops,Saginaw County,May-20,842
Scrubs tops,Saginaw County,Jun-20,823
Scrubs tops,Saginaw County,Jul-20,822
Scrubs tops,Saginaw County,Aug-20,839
Scrubs tops,Saginaw County,Sep-20,811
Scrubs tops,Saginaw County,Oct-20,811
Scrubs tops,Saginaw County,Nov-20,830
Scrubs tops,Saginaw County,Dec-20,817
Scrubs tops,Ingham County,Jan-20,807
Scrubs tops,Ingham County,Feb-20,823
Scrubs tops,Ingham County,Mar-20,844
Scrubs tops,Ingham County,Apr-20,813
Scrubs tops,Ingham County,May-20,837
Scrubs tops,Ingham County,Jun-20,833
Scrubs tops,Ingham County,Jul-20,835
Scrubs tops,Ingham County,Aug-20,812
Scrubs tops,Ingham County,Sep-20,835
Scrubs tops,Ingham County,Oct-20,846
Scrubs tops,Ingham County,Nov-20,826
Scrubs tops,Ingham County,Dec-20,809
Scrubs tops,Ingham County,Jan-20,829
Scrubs tops,Ingham County,Feb-20,829
Scrubs tops,Ingham County,Mar-20,816
Scrubs tops,Ingham County,Apr-20,854
Scrubs tops,Ingham County,May-20,848
Scrubs tops,Ingham County,Jun-20,823
Scrubs tops,Ingham County,Jul-20,813
Scrubs tops,Ingham County,Aug-20,845
Scrubs tops,Ingham County,Sep-20,850
Scrubs tops,Ingham County,Oct-20,850
Scrubs tops,Ingham County,Nov-20,836
Scrubs tops,Ingham County,Dec-20,851
Scrubs tops,Livingston County,Jan-20,809
Scrubs tops,Livingston County,Feb-20,850
Scrubs tops,Livingston County,Mar-20,837
Scrubs tops,Livingston County,Apr-20,839
Scrubs tops,Livingston County,May-20,847
Scrubs tops,Livingston County,Jun-20,833
Scrubs tops,Livingston County,Jul-20,844
Scrubs tops,Livingston County,Aug-20,850
Scrubs tops,Livingston County,Sep-20,811
Scrubs tops,Livingston County,Oct-20,843
Scrubs tops,Livingston County,Nov-20,807
Scrubs tops,Livingston County,Dec-20,807
Scrubs tops,Livingston County,Jan-20,839
Scrubs tops,Livingston County,Feb-20,829
Scrubs tops,Livingston County,Mar-20,846
Scrubs tops,Livingston County,Apr-20,831
Scrubs tops,Livingston County,May-20,826
Scrubs tops,Livingston County,Jun-20,844
Scrubs tops,Livingston County,Jul-20,836
Scrubs tops,Livingston County,Aug-20,846
Scrubs tops,Livingston County,Sep-20,847
Scrubs tops,Livingston County,Oct-20,838
Scrubs tops,Livingston County,Nov-20,815
Scrubs tops,Livingston County,Dec-20,837
Scrubs tops,St. Clair County,Jan-20,830
Scrubs tops,St. Clair County,Feb-20,811
Scrubs tops,St. Clair County,Mar-20,842
Scrubs tops,St. Clair County,Apr-20,822
Scrubs tops,St. Clair County,May-20,820
Scrubs tops,St. Clair County,Jun-20,833
Scrubs tops,St. Clair County,Jul-20,825
Scrubs tops,St. Clair County,Aug-20,824
Scrubs tops,St. Clair County,Sep-20,854
Scrubs tops,St. Clair County,Oct-20,820
Scrubs tops,St. Clair County,Nov-20,845
Scrubs tops,St. Clair County,Dec-20,844
Scrubs tops,St. Clair County,Jan-20,806
Scrubs tops,St. Clair County,Feb-20,817
Scrubs tops,St. Clair County,Mar-20,811
Scrubs tops,St. Clair County,Apr-20,846
Scrubs tops,St. Clair County,May-20,855
Scrubs tops,St. Clair County,Jun-20,827
Scrubs tops,St. Clair County,Jul-20,834
Scrubs tops,St. Clair County,Aug-20,839
Scrubs tops,St. Clair County,Sep-20,831
Scrubs tops,St. Clair County,Oct-20,820
Scrubs tops,St. Clair County,Nov-20,853
Scrubs tops,St. Clair County,Dec-20,843
Scrubs tops,Monroe County,Jan-20,832
Scrubs tops,Monroe County,Feb-20,823
Scrubs tops,Monroe County,Mar-20,848
Scrubs tops,Monroe County,Apr-20,820
Scrubs tops,Monroe County,May-20,838
Scrubs tops,Monroe County,Jun-20,834
Scrubs tops,Monroe County,Jul-20,809
Scrubs tops,Monroe County,Aug-20,826
Scrubs tops,Monroe County,Sep-20,823
Scrubs tops,Monroe County,Oct-20,849
Scrubs tops,Monroe County,Nov-20,831
Scrubs tops,Monroe County,Dec-20,852
Scrubs tops,Monroe County,Jan-20,843
Scrubs tops,Monroe County,Feb-20,822
Scrubs tops,Monroe County,Mar-20,830
Scrubs tops,Monroe County,Apr-20,855
Scrubs tops,Monroe County,May-20,839
Scrubs tops,Monroe County,Jun-20,845
Scrubs tops,Monroe County,Jul-20,815
Scrubs tops,Monroe County,Aug-20,826
Scrubs tops,Monroe County,Sep-20,814
Scrubs tops,Monroe County,Oct-20,825
Scrubs tops,Monroe County,Nov-20,855
Scrubs tops,Monroe County,Dec-20,841
Lab screening test kit,Wayne County,Jan-20,750
Lab screening test kit,Wayne County,Feb-20,727
Lab screening test kit,Wayne County,Mar-20,753
Lab screening test kit,Wayne County,Apr-20,716
Lab screening test kit,Wayne County,May-20,732
Lab screening test kit,Wayne County,Jun-20,721
Lab screening test kit,Wayne County,Jul-20,745
Lab screening test kit,Wayne County,Aug-20,722
Lab screening test kit,Wayne County,Sep-20,735
Lab screening test kit,Wayne County,Oct-20,736
Lab screening test kit,Wayne County,Nov-20,746
Lab screening test kit,Wayne County,Dec-20,718
Lab screening test kit,Wayne County,Jan-20,724
Lab screening test kit,Wayne County,Feb-20,713
Lab screening test kit,Wayne County,Mar-20,746
Lab screening test kit,Wayne County,Apr-20,730
Lab screening test kit,Wayne County,May-20,753
Lab screening test kit,Wayne County,Jun-20,741
Lab screening test kit,Wayne County,Jul-20,746
Lab screening test kit,Wayne County,Aug-20,745
Lab screening test kit,Wayne County,Sep-20,726
Lab screening test kit,Wayne County,Oct-20,713
Lab screening test kit,Wayne County,Nov-20,757
Lab screening test kit,Wayne County,Dec-20,713
Lab screening test kit,Oakland County,Jan-20,732
Lab screening test kit,Oakland County,Feb-20,729
Lab screening test kit,Oakland County,Mar-20,743
Lab screening test kit,Oakland County,Apr-20,715
Lab screening test kit,Oakland County,May-20,718
Lab screening test kit,Oakland County,Jun-20,720
Lab screening test kit,Oakland County,Jul-20,755
Lab screening test kit,Oakland County,Aug-20,737
Lab screening test kit,Oakland County,Sep-20,728
Lab screening test kit,Oakland County,Oct-20,713
Lab screening test kit,Oakland County,Nov-20,760
Lab screening test kit,Oakland County,Dec-20,757
Lab screening test kit,Oakland County,Jan-20,762
Lab screening test kit,Oakland County,Feb-20,713
Lab screening test kit,Oakland County,Mar-20,741
Lab screening test kit,Oakland County,Apr-20,736
Lab screening test kit,Oakland County,May-20,761
Lab screening test kit,Oakland County,Jun-20,714
Lab screening test kit,Oakland County,Jul-20,735
Lab screening test kit,Oakland County,Aug-20,746
Lab screening test kit,Oakland County,Sep-20,739
Lab screening test kit,Oakland County,Oct-20,736
Lab screening test kit,Oakland County,Nov-20,743
Lab screening test kit,Oakland County,Dec-20,738
Lab screening test kit,Macomb County,Jan-20,728
Lab screening test kit,Macomb County,Feb-20,745
Lab screening test kit,Macomb County,Mar-20,738
Lab screening test kit,Macomb County,Apr-20,721
Lab screening test kit,Macomb County,May-20,713
Lab screening test kit,Macomb County,Jun-20,714
Lab screening test kit,Macomb County,Jul-20,723
Lab screening test kit,Macomb County,Aug-20,720
Lab screening test kit,Macomb County,Sep-20,718
Lab screening test kit,Macomb County,Oct-20,730
Lab screening test kit,Macomb County,Nov-20,750
Lab screening test kit,Macomb County,Dec-20,758
Lab screening test kit,Macomb County,Jan-20,752
Lab screening test kit,Macomb County,Feb-20,760
Lab screening test kit,Macomb County,Mar-20,755
Lab screening test kit,Macomb County,Apr-20,731
Lab screening test kit,Macomb County,May-20,742
Lab screening test kit,Macomb County,Jun-20,733
Lab screening test kit,Macomb County,Jul-20,740
Lab screening test kit,Macomb County,Aug-20,734
Lab screening test kit,Macomb County,Sep-20,726
Lab screening test kit,Macomb County,Oct-20,745
Lab screening test kit,Macomb County,Nov-20,754
Lab screening test kit,Macomb County,Dec-20,761
Lab screening test kit,Genesee County,Jan-20,729
Lab screening test kit,Genesee County,Feb-20,725
Lab screening test kit,Genesee County,Mar-20,755
Lab screening test kit,Genesee County,Apr-20,715
Lab screening test kit,Genesee County,May-20,753
Lab screening test kit,Genesee County,Jun-20,756
Lab screening test kit,Genesee County,Jul-20,745
Lab screening test kit,Genesee County,Aug-20,731
Lab screening test kit,Genesee County,Sep-20,715
Lab screening test kit,Genesee County,Oct-20,717
Lab screening test kit,Genesee County,Nov-20,733
Lab screening test kit,Genesee County,Dec-20,729
Lab screening test kit,Genesee County,Jan-20,737
Lab screening test kit,Genesee County,Feb-20,731
Lab screening test kit,Genesee County,Mar-20,761
Lab screening test kit,Genesee County,Apr-20,737
Lab screening test kit,Genesee County,May-20,742
Lab screening test kit,Genesee County,Jun-20,743
Lab screening test kit,Genesee County,Jul-20,720
Lab screening test kit,Genesee County,Aug-20,713
Lab screening test kit,Genesee County,Sep-20,753
Lab screening test kit,Genesee County,Oct-20,715
Lab screening test kit,Genesee County,Nov-20,750
Lab screening test kit,Genesee County,Dec-20,743
Lab screening test kit,Washtenaw County,Jan-20,762
Lab screening test kit,Washtenaw County,Feb-20,739
Lab screening test kit,Washtenaw County,Mar-20,728
Lab screening test kit,Washtenaw County,Apr-20,756
Lab screening test kit,Washtenaw County,May-20,758
Lab screening test kit,Washtenaw County,Jun-20,755
Lab screening test kit,Washtenaw County,Jul-20,716
Lab screening test kit,Washtenaw County,Aug-20,748
Lab screening test kit,Washtenaw County,Sep-20,758
Lab screening test kit,Washtenaw County,Oct-20,759
Lab screening test kit,Washtenaw County,Nov-20,734
Lab screening test kit,Washtenaw County,Dec-20,753
Lab screening test kit,Washtenaw County,Jan-20,757
Lab screening test kit,Washtenaw County,Feb-20,730
Lab screening test kit,Washtenaw County,Mar-20,719
Lab screening test kit,Washtenaw County,Apr-20,729
Lab screening test kit,Washtenaw County,May-20,748
Lab screening test kit,Washtenaw County,Jun-20,726
Lab screening test kit,Washtenaw County,Jul-20,728
Lab screening test kit,Washtenaw County,Aug-20,739
Lab screening test kit,Washtenaw County,Sep-20,749
Lab screening test kit,Washtenaw County,Oct-20,734
Lab screening test kit,Washtenaw County,Nov-20,723
Lab screening test kit,Washtenaw County,Dec-20,751
Lab screening test kit,Kent County,Jan-20,718
Lab screening test kit,Kent County,Feb-20,742
