plant,product,value
MI-Dearborn,Syringes,233
MI-Dearborn,IV Catheters,233.5
MI-Dearborn,Needles,240.5
MI-Dearborn,Surface Disinfectant 1 Gallon,246.5
MI-Auburn/hills,Gown protective,104
MI-Auburn/hills,Scrubs tops,112
MI-Auburn/hills,Lab screening test kit,114
MI-Auburn/hills,Lab extraction kit,118
MI-Auburn/hills,powered air purifying respirators,125
MI-Auburn/hills,Wipes,130
MI-Auburn/hills,Alcohol-based hand rub,132.5
MI-Auburn/hills,"Chlorine, HTH 70%",139
MI-Auburn/hills,Safety box,145.5
MI-Auburn/hills,Non contact infrared Thermometer,147.5
MI-Auburn/hills,Goggles protective,151.5
MI-Auburn/hills,Disposable foot covers,156
MI-Auburn/hills,M4 viral media,161
MI-Auburn/hills,Triple packaging boxes,166.5
MI-Auburn/hills,Liquid soap,173
MI-Auburn/hills,Mask medical,176.5
MI-Auburn/hills,Scrubs pants,186.5
MI-Auburn/hills,Face shield,189.5
MI-Auburn/hills,Gloves,194
MI-Auburn/hills,Nasal testing swabs,198
MI-Auburn/hills,InvasiveVentilators,206.5
MI-Auburn/hills,Non Invasive Ventilators,210.5
MI-Auburn/hills,BioHazard Liner bags 2gallon,217
MI-Auburn/hills,BioHazard Liner bags 44gallon,219.5
MI-Auburn/hills,Blue Solied Linen bags,226.5
MI-Auburn/hills,Syringes,231
MI-Auburn/hills,IV Catheters,234
MI-Auburn/hills,Needles,241.5
MI-Auburn/hills,Surface Disinfectant 1 Gallon,243.5
MI-Plymouth,Gown protective,106
MI-Plymouth,Scrubs tops,109.5
MI-Plymouth,Lab screening test kit,113
MI-Plymouth,Lab extraction kit,119.5
MI-Plymouth,powered air purifying respirators,124.5
MI-Plymouth,Wipes,131.5
MI-Plymouth,Alcohol-based hand rub,133
MI-Plymouth,"Chlorine, HTH 70%",141
MI-Plymouth,Safety box,143
MI-Plymouth,Non contact infrared Thermometer,151.5
MI-Plymouth,Goggles protective,154.5
MI-Plymouth,Disposable foot covers,159.5
MI-Plymouth,M4 viral media,163.5
MI-Plymouth,Triple packaging boxes,167
MI-Plymouth,Liquid soap,172.5
MI-Plymouth,Mask medical,177.5
MI-Plymouth,Scrubs pants,183
MI-Plymouth,Face shield,189.5
MI-Plymouth,Gloves,195
MI-Plymouth,Nasal testing swabs,202.5
MI-Plymouth,InvasiveVentilators,203.5
MI-Plymouth,Non Invasive Ventilators,208.5
MI-Plymouth,BioHazard Liner bags 2gallon,214
MI-Plymouth,BioHazard Liner bags 44gallon,222
MI-Plymouth,Blue Solied Linen bags,226
MI-Plymouth,Syringes,229.5
MI-Plymouth,IV Catheters,238
MI-Plymouth,Needles,242.5
MI-Plymouth,Surface Disinfectant 1 Gallon,245.5
MI-GrandRapids,Gown protective,106
MI-GrandRapids,Scrubs tops,109
MI-GrandRapids,Lab screening test kit,113
MI-GrandRapids,Lab extraction kit,121
MI-GrandRapids,powered air purifying respirators,126
MI-GrandRapids,Wipes,130.5
MI-GrandRapids,Alcohol-based hand rub,134.5
MI-GrandRapids,"Chlorine, HTH 70%",138
MI-GrandRapids,Safety box,147
MI-GrandRapids,Non contact infrared Thermometer,151.5
MI-GrandRapids,Goggles protective,155
MI-GrandRapids,Disposable foot covers,160
MI-GrandRapids,M4 viral media,162.5
MI-GrandRapids,Triple packaging boxes,168
MI-GrandRapids,Liquid soap,172
MI-GrandRapids,Mask medical,175.5
MI-GrandRapids,Scrubs pants,187
MI-GrandRapids,Face shield,189.5
MI-GrandRapids,Gloves,197.5
MI-GrandRapids,Nasal testing swabs,202.5
MI-GrandRapids,InvasiveVentilators,206
MI-GrandRapids,Non Invasive Ventilators,212.5
MI-GrandRapids,BioHazard Liner bags 2gallon,213.5
MI-GrandRapids,BioHazard Liner bags 44gallon,223
MI-GrandRapids,Blue Solied Linen bags,226.5
MI-GrandRapids,Syringes,233
MI-GrandRapids,IV Catheters,235.5
MI-GrandRapids,Needles,240.5
MI-GrandRapids,Surface Disinfectant 1 Gallon,248
MI-Farmington,Gown protective,104
MI-Farmington,Scrubs tops,112
MI-Farmington,Lab screening test kit,113
MI-Farmington,Lab extraction kit,121
MI-Farmington,powered air purifying respirators,123.5
MI-Farmington,Wipes,128
MI-Farmington,Alcohol-based hand rub,133
MI-Farmington,"Chlorine, HTH 70%",137.5
MI-Farmington,Safety box,145
MI-Farmington,Non contact infrared Thermometer,148.5
MI-Farmington,Goggles protective,152
MI-Farmington,Disposable foot covers,158
MI-Farmington,M4 viral media,162
MI-Farmington,Triple packaging boxes,168
MI-Farmington,Liquid soap,174.5
MI-Farmington,Mask medical,177.5
MI-Farmington,Scrubs pants,186.5
MI-Farmington,Face shield,192
MI-Farmington,Gloves,195
MI-Farmington,Nasal testing swabs,199
MI-Farmington,InvasiveVentilators,206.5
MI-Farmington,Non Invasive Ventilators,210.5
MI-Farmington,BioHazard Liner bags 2gallon,216.5
MI-Farmington,BioHazard Liner bags 44gallon,223
MI-Farmington,Blue Solied Linen bags,223.5
MI-Farmington,Syringes,233
MI-Farmington,IV Catheters,238
MI-Farmington,Needles,239.5
MI-Farmington,Surface Disinfectant 1 Gallon,246
