product,market,month,demand,allocation,absdiff,reldiff
Scrubs tops,Macomb County,Feb-20,53.0,51,2,3.7037037037037037
Scrubs tops,Macomb County,Mar-20,51.0,49,2,3.8461538461538463
Scrubs tops,Macomb County,Apr-20,54.0,50,4,7.2727272727272725
Scrubs tops,Macomb County,May-20,49.5,45,4,8.910891089108912
Scrubs tops,Macomb County,Jun-20,48.0,43,5,10.204081632653061
Scrubs tops,Macomb County,Jul-20,45.0,45,0,0.0
Scrubs tops,Macomb County,Aug-20,42.5,40,2,5.747126436781609
Scrubs tops,Macomb County,Sep-20,46.0,46,0,0.0
Scrubs tops,Genesee County,Jan-20,39.0,38,1,2.5
Scrubs tops,Genesee County,Feb-20,37.5,36,1,3.896103896103896
Scrubs tops,Genesee County,Mar-20,41.0,40,1,2.380952380952381
Scrubs tops,Genesee County,Apr-20,36.0,33,3,8.108108108108109
Scrubs tops,Genesee County,May-20,40.0,36,4,9.75609756097561
Scrubs tops,Genesee County,Jun-20,36.0,32,4,10.81081081081081
Scrubs tops,Genesee County,Jul-20,34.5,35,0,1.408450704225352
Scrubs tops,Genesee County,Aug-20,33.0,31,2,5.882352941176471
Scrubs tops,Genesee County,Sep-20,32.5,32,0,1.492537313432836
Scrubs tops,Washtenaw County,Jan-20,24.5,24,0,1.9607843137254901
Scrubs tops,Washtenaw County,Feb-20,26.0,25,1,3.7037037037037037
Scrubs tops,Washtenaw County,Mar-20,29.5,28,1,4.918032786885246
Scrubs tops,Washtenaw County,Apr-20,26.5,24,2,9.090909090909092
Scrubs tops,Washtenaw County,May-20,23.0,20,3,12.5
Scrubs tops,Washtenaw County,Jun-20,25.0,21,4,15.384615384615385
Scrubs tops,Washtenaw County,Jul-20,23.5,25,1,6.122448979591836
Scrubs tops,Washtenaw County,Aug-20,21.0,19,2,9.090909090909092
Scrubs tops,Washtenaw County,Sep-20,22.0,22,0,0.0
Scrubs tops,Kent County,Jan-20,101.0,98,3,2.9411764705882355
Scrubs tops,Kent County,Feb-20,97.5,94,3,3.553299492385787
Scrubs tops,Kent County,Mar-20,97.5,93,4,4.568527918781726
Scrubs tops,Kent County,Apr-20,102.0,96,6,5.825242718446602
Scrubs tops,Kent County,May-20,101.0,95,6,5.882352941176471
Scrubs tops,Kent County,Jun-20,97.0,90,7,7.142857142857143
Scrubs tops,Kent County,Jul-20,81.0,79,2,2.4390243902439024
Scrubs tops,Kent County,Aug-20,84.0,79,5,5.882352941176471
Scrubs tops,Kent County,Sep-20,80.5,79,1,1.8404907975460123
Scrubs tops,Saginaw County,Jan-20,36.5,36,0,1.3333333333333333
Scrubs tops,Saginaw County,Feb-20,38.0,37,1,2.5641025641025643
Scrubs tops,Saginaw County,Mar-20,39.5,38,1,3.7037037037037037
Scrubs tops,Saginaw County,Apr-20,37.0,34,3,7.894736842105263
Scrubs tops,Saginaw County,May-20,34.5,31,3,9.859154929577464
Scrubs tops,Saginaw County,Jun-20,37.5,33,4,11.688311688311689
Scrubs tops,Saginaw County,Jul-20,34.0,35,1,2.857142857142857
Scrubs tops,Saginaw County,Aug-20,33.0,31,2,5.882352941176471
Scrubs tops,Saginaw County,Sep-20,31.5,31,0,1.5384615384615385
Scrubs tops,Ingham County,Jan-20,20.5,21,0,2.3255813953488373
Scrubs tops,Ingham County,Feb-20,17.0,17,0,0.0
Scrubs tops,Ingham County,Mar-20,21.0,20,1,4.545454545454546
Scrubs tops,Ingham County,Apr-20,19.0,17,2,10.0
Scrubs tops,Ingham County,May-20,25.5,23,2,9.433962264150944
Scrubs tops,Ingham County,Jun-20,24.0,21,3,12.0
Scrubs tops,Ingham County,Jul-20,15.5,17,1,9.090909090909092
Scrubs tops,Ingham County,Aug-20,17.0,15,2,11.11111111111111
Scrubs tops,Ingham County,Sep-20,17.0,17,0,0.0
Scrubs tops,Livingston County,Jan-20,6.0,7,1,14.285714285714286
Scrubs tops,Livingston County,Feb-20,7.5,8,0,5.882352941176471
Scrubs tops,Livingston County,Mar-20,9.0,9,0,0.0
Scrubs tops,Livingston County,Apr-20,7.5,6,1,17.647058823529413
Scrubs tops,Livingston County,May-20,6.5,5,1,20.0
Scrubs tops,Livingston County,Jun-20,8.5,6,2,26.31578947368421
Scrubs tops,Livingston County,Jul-20,3.5,4,0,11.11111111111111
Scrubs tops,Livingston County,Aug-20,6.5,5,1,20.0
Scrubs tops,Livingston County,Sep-20,4.5,4,0,9.090909090909092
Scrubs tops,St. Clair County,Jan-20,32.5,32,0,1.492537313432836
Scrubs tops,St. Clair County,Feb-20,32.5,31,1,4.477611940298507
Scrubs tops,St. Clair County,Mar-20,30.5,29,1,4.761904761904762
Scrubs tops,St. Clair County,Apr-20,31.5,28,3,10.76923076923077
Scrubs tops,St. Clair County,May-20,27.5,25,2,8.771929824561404
Scrubs tops,St. Clair County,Jun-20,29.0,25,4,13.333333333333334
Scrubs tops,St. Clair County,Jul-20,27.5,28,0,1.7543859649122806
Scrubs tops,St. Clair County,Aug-20,30.5,29,1,4.761904761904762
Scrubs tops,St. Clair County,Sep-20,25.5,25,0,1.8867924528301887
Scrubs tops,Monroe County,Jan-20,10.0,11,1,9.090909090909092
Scrubs tops,Monroe County,Feb-20,10.0,10,0,0.0
Scrubs tops,Monroe County,Mar-20,10.5,11,0,4.3478260869565215
Scrubs tops,Monroe County,Apr-20,7.0,5,2,25.0
Scrubs tops,Monroe County,May-20,11.0,9,2,16.666666666666668
Scrubs tops,Monroe County,Jun-20,8.5,6,2,26.31578947368421
Scrubs tops,Monroe County,Jul-20,8.5,9,0,5.2631578947368425
Scrubs tops,Monroe County,Aug-20,8.5,7,1,15.789473684210526
Scrubs tops,Monroe County,Sep-20,6.0,6,0,0.0
Lab screening test kit,Wayne County,Jan-20,5.5,5,0,7.6923076923076925
Lab screening test kit,Wayne County,Feb-20,2.0,1,1,33.333333333333336
Lab screening test kit,Wayne County,Mar-20,5.5,4,1,23.076923076923077
Lab screening test kit,Wayne County,Apr-20,4.0,1,3,60.0
Lab screening test kit,Wayne County,May-20,2.5,0,2,100.0
Lab screening test kit,Wayne County,Jun-20,2.5,0,2,100.0
Lab screening test kit,Wayne County,Jul-20,4.5,5,0,9.090909090909092
Lab screening test kit,Wayne County,Aug-20,3.5,2,1,33.333333333333336
Lab screening test kit,Wayne County,Sep-20,7.5,7,0,5.882352941176471
Lab screening test kit,Oakland County,Jan-20,78.5,75,3,4.40251572327044
Lab screening test kit,Oakland County,Feb-20,78.0,73,5,6.329113924050633
Lab screening test kit,Oakland County,Mar-20,81.5,77,4,5.454545454545454
Lab screening test kit,Oakland County,Apr-20,80.0,74,6,7.407407407407407
Lab screening test kit,Oakland County,May-20,78.5,71,7,9.433962264150944
Lab screening test kit,Oakland County,Jun-20,80.5,70,10,12.883435582822086
Lab screening test kit,Oakland County,Jul-20,81.5,76,5,6.666666666666667
Lab screening test kit,Oakland County,Aug-20,75.5,67,8,11.11111111111111
Lab screening test kit,Oakland County,Sep-20,79.0,73,6,7.5
Lab screening test kit,Macomb County,Jan-20,74.5,73,1,1.9867549668874172
Lab screening test kit,Macomb County,Feb-20,75.0,72,3,3.9473684210526314
Lab screening test kit,Macomb County,Mar-20,76.0,73,3,3.896103896103896
Lab screening test kit,Macomb County,Apr-20,77.0,73,4,5.128205128205129
Lab screening test kit,Macomb County,May-20,79.5,74,5,6.832298136645963
Lab screening test kit,Macomb County,Jun-20,81.0,75,6,7.317073170731708
Lab screening test kit,Macomb County,Jul-20,74.5,74,0,0.6622516556291391
Lab screening test kit,Macomb County,Aug-20,73.5,70,3,4.697986577181208
Lab screening test kit,Macomb County,Sep-20,75.0,74,1,1.3157894736842106
Lab screening test kit,Genesee County,Jan-20,81.5,79,2,3.0303030303030303
Lab screening test kit,Genesee County,Feb-20,85.5,82,3,4.046242774566474
Lab screening test kit,Genesee County,Mar-20,80.5,77,3,4.294478527607362
Lab screening test kit,Genesee County,Apr-20,88.5,84,4,5.027932960893855
Lab screening test kit,Genesee County,May-20,84.0,78,6,7.0588235294117645
Lab screening test kit,Genesee County,Jun-20,82.5,77,5,6.586826347305389
Lab screening test kit,Genesee County,Jul-20,82.0,81,1,1.2048192771084338
Lab screening test kit,Genesee County,Aug-20,84.5,81,3,4.093567251461988
Lab screening test kit,Genesee County,Sep-20,85.0,84,1,1.1627906976744187
Lab screening test kit,Washtenaw County,Jan-20,27.0,26,1,3.5714285714285716
Lab screening test kit,Washtenaw County,Feb-20,33.0,32,1,2.9411764705882355
Lab screening test kit,Washtenaw County,Mar-20,32.0,30,2,6.0606060606060606
Lab screening test kit,Washtenaw County,Apr-20,32.0,29,3,9.090909090909092
Lab screening test kit,Washtenaw County,May-20,29.0,25,4,13.333333333333334
Lab screening test kit,Washtenaw County,Jun-20,35.0,31,4,11.11111111111111
Lab screening test kit,Washtenaw County,Jul-20,29.0,28,1,3.3333333333333335
Lab screening test kit,Washtenaw County,Aug-20,27.0,24,3,10.714285714285714
Lab screening test kit,Washtenaw County,Sep-20,31.0,30,1,3.125
Lab screening test kit,Kent County,Jan-20,122.5,117,5,4.4534412955465585
Lab screening test kit,Kent County,Feb-20,125.5,119,6,5.138339920948616
Lab screening test kit,Kent County,Mar-20,122.5,116,6,5.2631578947368425
Lab screening test kit,Kent County,Apr-20,133.5,126,7,5.5762081784386615
Lab screening test kit,Kent County,May-20,133.0,124,9,6.7164179104477615
Lab screening test kit,Kent County,Jun-20,131.5,123,8,6.415094339622642
Lab screening test kit,Kent County,Jul-20,117.5,114,3,2.9535864978902953
Lab screening test kit,Kent County,Aug-20,117.5,111,6,5.485232067510548
Lab screening test kit,Kent County,Sep-20,120.5,115,5,4.526748971193416
Lab screening test kit,Saginaw County,Jan-20,114.5,111,3,3.0303030303030303
Lab screening test kit,Saginaw County,Feb-20,118.0,114,4,3.361344537815126
Lab screening test kit,Saginaw County,Mar-20,121.0,117,4,3.278688524590164
Lab screening test kit,Saginaw County,Apr-20,125.5,119,6,5.138339920948616
Lab screening test kit,Saginaw County,May-20,129.0,123,6,4.615384615384615
Lab screening test kit,Saginaw County,Jun-20,130.5,124,6,4.942965779467681
Lab screening test kit,Saginaw County,Jul-20,115.5,114,1,1.2875536480686696
Lab screening test kit,Saginaw County,Aug-20,115.5,111,4,3.8626609442060085
Lab screening test kit,Saginaw County,Sep-20,116.0,114,2,1.7094017094017093
Lab screening test kit,Ingham County,Jan-20,74.5,69,5,7.28476821192053
Lab screening test kit,Ingham County,Feb-20,80.5,75,5,6.748466257668712
Lab screening test kit,Ingham County,Mar-20,81.5,75,6,7.878787878787879
Lab screening test kit,Ingham County,Apr-20,83.5,76,7,8.875739644970414
Lab screening test kit,Ingham County,May-20,82.5,72,10,12.574850299401197
Lab screening test kit,Ingham County,Jun-20,90.0,78,12,13.186813186813186
Lab screening test kit,Ingham County,Jul-20,74.5,68,6,8.609271523178808
Lab screening test kit,Ingham County,Aug-20,81.5,73,8,10.303030303030303
Lab screening test kit,Ingham County,Sep-20,78.0,72,6,7.594936708860759
Lab screening test kit,Livingston County,Jan-20,89.5,87,2,2.7624309392265194
Lab screening test kit,Livingston County,Feb-20,89.0,86,3,3.3333333333333335
Lab screening test kit,Livingston County,Mar-20,89.0,86,3,3.3333333333333335
Lab screening test kit,Livingston County,Apr-20,93.0,88,5,5.319148936170213
Lab screening test kit,Livingston County,May-20,98.5,93,5,5.527638190954774
Lab screening test kit,Livingston County,Jun-20,95.5,90,5,5.699481865284974
Lab screening test kit,Livingston County,Jul-20,83.0,82,1,1.1904761904761905
Lab screening test kit,Livingston County,Aug-20,90.0,86,4,4.395604395604396
Lab screening test kit,Livingston County,Sep-20,87.5,87,0,0.5649717514124294
Lab screening test kit,St. Clair County,Jan-20,105.0,98,7,6.60377358490566
Lab screening test kit,St. Clair County,Feb-20,105.0,97,8,7.547169811320755
Lab screening test kit,St. Clair County,Mar-20,106.5,99,7,6.976744186046512
Lab screening test kit,St. Clair County,Apr-20,109.0,100,9,8.181818181818182
Lab screening test kit,St. Clair County,May-20,110.5,101,9,8.52017937219731
Lab screening test kit,St. Clair County,Jun-20,109.5,99,10,9.502262443438914
Lab screening test kit,St. Clair County,Jul-20,114.5,109,5,4.761904761904762
Lab screening test kit,St. Clair County,Aug-20,116.0,108,8,6.837606837606837
Lab screening test kit,St. Clair County,Sep-20,110.5,105,5,4.932735426008969
Lab screening test kit,Monroe County,Jan-20,21.5,22,0,2.2222222222222223
Lab screening test kit,Monroe County,Feb-20,18.0,17,1,5.2631578947368425
Lab screening test kit,Monroe County,Mar-20,19.5,19,0,2.4390243902439024
Lab screening test kit,Monroe County,Apr-20,17.5,15,2,13.513513513513514
Lab screening test kit,Monroe County,May-20,21.5,19,2,11.11111111111111
Lab screening test kit,Monroe County,Jun-20,21.0,18,3,13.636363636363637
Lab screening test kit,Monroe County,Jul-20,19.5,20,0,2.4390243902439024
Lab screening test kit,Monroe County,Aug-20,19.5,18,1,7.317073170731708
Lab screening test kit,Monroe County,Sep-20,19.0,19,0,0.0
Lab extraction kit,Wayne County,Jan-20,77.0,75,2,2.5641025641025643
Lab extraction kit,Wayne County,Feb-20,82.0,80,2,2.4096385542168677
Lab extraction kit,Wayne County,Mar-20,83.0,80,3,3.5714285714285716
Lab extraction kit,Wayne County,Apr-20,81.5,77,4,5.454545454545454
Lab extraction kit,Wayne County,May-20,83.0,78,5,5.9523809523809526
Lab extraction kit,Wayne County,Jun-20,81.0,76,5,6.097560975609756
Lab extraction kit,Wayne County,Jul-20,81.5,81,0,0.6060606060606061
Lab extraction kit,Wayne County,Aug-20,83.0,80,3,3.5714285714285716
Lab extraction kit,Wayne County,Sep-20,84.5,84,0,0.5847953216374269
Lab extraction kit,Oakland County,Jan-20,52.0,51,1,1.8867924528301887
Lab extraction kit,Oakland County,Feb-20,55.5,54,1,2.6548672566371683
Lab extraction kit,Oakland County,Mar-20,57.5,55,2,4.273504273504273
Lab extraction kit,Oakland County,Apr-20,54.5,51,3,6.306306306306307
Lab extraction kit,Oakland County,May-20,52.5,48,4,8.411214953271028
Lab extraction kit,Oakland County,Jun-20,55.0,50,5,8.928571428571429
Lab extraction kit,Oakland County,Jul-20,54.5,55,0,0.9009009009009009
Lab extraction kit,Oakland County,Aug-20,52.5,50,2,4.672897196261682
Lab extraction kit,Oakland County,Sep-20,51.0,51,0,0.0
Lab extraction kit,Macomb County,Jan-20,27.5,28,0,1.7543859649122806
Lab extraction kit,Macomb County,Feb-20,29.0,28,1,3.3333333333333335
Lab extraction kit,Macomb County,Mar-20,26.0,25,1,3.7037037037037037
Lab extraction kit,Macomb County,Apr-20,30.0,28,2,6.451612903225806
Lab extraction kit,Macomb County,May-20,29.0,26,3,10.0
Lab extraction kit,Macomb County,Jun-20,25.0,22,3,11.538461538461538
Lab extraction kit,Macomb County,Jul-20,28.5,29,0,1.694915254237288
Lab extraction kit,Macomb County,Aug-20,26.5,25,1,5.454545454545454
Lab extraction kit,Macomb County,Sep-20,27.0,27,0,0.0
Lab extraction kit,Genesee County,Jan-20,114.0,111,3,2.608695652173913
Lab extraction kit,Genesee County,Feb-20,108.5,104,4,4.109589041095891
Lab extraction kit,Genesee County,Mar-20,113.0,109,4,3.508771929824561
Lab extraction kit,Genesee County,Apr-20,114.5,108,6,5.627705627705628
Lab extraction kit,Genesee County,May-20,116.5,110,6,5.531914893617022
Lab extraction kit,Genesee County,Jun-20,118.0,111,7,5.882352941176471
Lab extraction kit,Genesee County,Jul-20,112.5,111,1,1.3215859030837005
Lab extraction kit,Genesee County,Aug-20,118.0,113,5,4.201680672268908
Lab extraction kit,Genesee County,Sep-20,118.5,117,1,1.2552301255230125
Lab extraction kit,Washtenaw County,Jan-20,32.5,32,0,1.492537313432836
Lab extraction kit,Washtenaw County,Feb-20,31.0,30,1,3.125
Lab extraction kit,Washtenaw County,Mar-20,28.5,27,1,5.084745762711864
Lab extraction kit,Washtenaw County,Apr-20,32.0,30,2,6.0606060606060606
Lab extraction kit,Washtenaw County,May-20,35.0,32,3,8.333333333333334
Lab extraction kit,Washtenaw County,Jun-20,35.0,31,4,11.11111111111111
Lab extraction kit,Washtenaw County,Jul-20,30.0,31,1,3.225806451612903
Lab extraction kit,Washtenaw County,Aug-20,30.0,29,1,3.225806451612903
Lab extraction kit,Washtenaw County,Sep-20,32.5,32,0,1.492537313432836
Lab extraction kit,Kent County,Jan-20,22.5,23,0,2.127659574468085
Lab extraction kit,Kent County,Feb-20,24.5,24,0,1.9607843137254901
Lab extraction kit,Kent County,Mar-20,26.0,25,1,3.7037037037037037
Lab extraction kit,Kent County,Apr-20,29.0,27,2,6.666666666666667
Lab extraction kit,Kent County,May-20,25.5,23,2,9.433962264150944
Lab extraction kit,Kent County,Jun-20,28.5,25,3,11.864406779661017
Lab extraction kit,Kent County,Jul-20,20.5,21,0,2.3255813953488373
Lab extraction kit,Kent County,Aug-20,22.5,21,1,6.382978723404255
Lab extraction kit,Kent County,Sep-20,24.5,24,0,1.9607843137254901
Lab extraction kit,Saginaw County,Jan-20,27.0,27,0,0.0
Lab extraction kit,Saginaw County,Feb-20,27.0,27,0,0.0
Lab extraction kit,Saginaw County,Mar-20,25.5,25,0,1.8867924528301887
Lab extraction kit,Saginaw County,Apr-20,29.0,27,2,6.666666666666667
Lab extraction kit,Saginaw County,May-20,32.5,30,2,7.462686567164179
Lab extraction kit,Saginaw County,Jun-20,29.0,26,3,10.0
Lab extraction kit,Saginaw County,Jul-20,28.0,29,1,3.4482758620689653
Lab extraction kit,Saginaw County,Aug-20,28.5,27,1,5.084745762711864
Lab extraction kit,Saginaw County,Sep-20,30.0,30,0,0.0
Lab extraction kit,Ingham County,Jan-20,20.0,21,1,4.761904761904762
Lab extraction kit,Ingham County,Feb-20,20.0,20,0,0.0
Lab extraction kit,Ingham County,Mar-20,14.5,14,0,3.225806451612903
Lab extraction kit,Ingham County,Apr-20,19.0,17,2,10.0
Lab extraction kit,Ingham County,May-20,22.5,20,2,10.638297872340425
Lab extraction kit,Ingham County,Jun-20,18.5,15,3,17.94871794871795
Lab extraction kit,Ingham County,Jul-20,17.5,19,1,8.108108108108109
Lab extraction kit,Ingham County,Aug-20,20.0,18,2,9.523809523809524
Lab extraction kit,Ingham County,Sep-20,18.5,18,0,2.5641025641025643
Lab extraction kit,Livingston County,Jan-20,25.0,25,0,0.0
Lab extraction kit,Livingston County,Feb-20,25.0,25,0,0.0
Lab extraction kit,Livingston County,Mar-20,21.5,21,0,2.2222222222222223
Lab extraction kit,Livingston County,Apr-20,24.0,22,2,8.0
Lab extraction kit,Livingston County,May-20,22.5,20,2,10.638297872340425
Lab extraction kit,Livingston County,Jun-20,23.0,19,4,16.666666666666668
Lab extraction kit,Livingston County,Jul-20,22.0,23,1,4.3478260869565215
Lab extraction kit,Livingston County,Aug-20,22.0,21,1,4.3478260869565215
Lab extraction kit,Livingston County,Sep-20,21.0,21,0,0.0
Lab extraction kit,St. Clair County,Jan-20,80.0,78,2,2.4691358024691357
Lab extraction kit,St. Clair County,Feb-20,74.5,72,2,3.3112582781456954
Lab extraction kit,St. Clair County,Mar-20,80.0,77,3,3.7037037037037037
Lab extraction kit,St. Clair County,Apr-20,81.0,76,5,6.097560975609756
Lab extraction kit,St. Clair County,May-20,83.0,78,5,5.9523809523809526
Lab extraction kit,St. Clair County,Jun-20,84.0,78,6,7.0588235294117645
Lab extraction kit,St. Clair County,Jul-20,85.0,84,1,1.1627906976744187
Lab extraction kit,St. Clair County,Aug-20,81.5,79,2,3.0303030303030303
Lab extraction kit,St. Clair County,Sep-20,85.5,85,0,0.5780346820809249
Lab extraction kit,Monroe County,Jan-20,89.0,86,3,3.3333333333333335
Lab extraction kit,Monroe County,Feb-20,87.5,84,3,3.9548022598870056
